対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202306	012091700	53	部門共通（時間）	0.0	0.0	0.0	0.0	0	0
202306	012091700	54	当月時間当り	0.0	0.0	0.0		0	0
202306	012091700	55	人員	0.0	0.0	0.0		0	0
202307	012091700	1	総受注高	0.0	0.0	0.0		0	0
202307	012091700	2	総売上高	0.0	0.0	0.0		0	0
202307	012091700	3	売上高	0.0	0.0	0.0	0.0	0	0
202307	012091700	4	売上値引	0.0	0.0	0.0	0.0	0	0
202307	012091700	5	売上原価	0.0	0.0	0.0	0.0	0	0
202307	012091700	6	総収益	0.0	0.0	0.0	0.0	0	0
202307	012091700	7	経費合計	0.0	0.0	0.0	0.0	0	0
202307	012091700	8	減価償却費	0.0	0.0	0.0	0.0	0	0
202307	012091700	9	車両費	0.0	0.0	0.0	0.0	0	0
202307	012091700	10	旅費交通費	0.0	0.0	0.0	0.0	0	0
202307	012091700	11	荷造運搬費	0.0	0.0	0.0	0.0	0	0
202307	012091700	12	通信費	0.0	0.0	0.0	0.0	0	0
202307	012091700	13	水道光熱費	0.0	0.0	0.0	0.0	0	0
202307	012091700	14	事務用品費	0.0	0.0	0.0	0.0	0	0
202307	012091700	15	消耗品費	0.0	0.0	0.0	0.0	0	0
202307	012091700	16	廃棄物処理料	0.0	0.0	0.0	0.0	0	0
202307	012091700	17	広告宣伝費	0.0	0.0	0.0	0.0	0	0
202307	012091700	18	接待交際費	0.0	0.0	0.0	0.0	0	0
202307	012091700	20	賃借料	0.0	0.0	0.0	0.0	0	0
202307	012091700	21	賃貸料収入	0.0	0.0	0.0	0.0	0	0
202307	012091700	22	修繕費	0.0	0.0	0.0	0.0	0	0
202307	012091700	23	支払リース料	0.0	0.0	0.0	0.0	0	0
202307	012091700	24	保険料	0.0	0.0	0.0	0.0	0	0
202307	012091700	25	支払報酬	0.0	0.0	0.0	0.0	0	0
202307	012091700	26	販売手数料	0.0	0.0	0.0	0.0	0	0
202307	012091700	27	支払手数料	0.0	0.0	0.0	0.0	0	0
202307	012091700	28	診断料	0.0	0.0	0.0	0.0	0	0
202307	012091700	29	諸会費	0.0	0.0	0.0	0.0	0	0
202307	012091700	30	会議費	0.0	0.0	0.0	0.0	0	0
202307	012091700	31	寄付金	0.0	0.0	0.0	0.0	0	0
202307	012091700	32	租税公課	0.0	0.0	0.0	0.0	0	0
202307	012091700	33	業務委託費	0.0	0.0	0.0	0.0	0	0
202307	012091700	34	業務受託収入	0.0	0.0	0.0	0.0	0	0
202307	012091700	35	システム管理料	0.0	0.0	0.0	0.0	0	0
202307	012091700	36	情報機器利用料	0.0	0.0	0.0	0.0	0	0
202307	012091700	37	貸倒金	0.0	0.0	0.0	0.0	0	0
202307	012091700	38	雑費	0.0	0.0	0.0	0.0	0	0
202307	012091700	39	福利消耗品費	0.0	0.0	0.0	0.0	0	0
202307	012091700	40	教育研修費	0.0	0.0	0.0	0.0	0	0
202307	012091700	41	廃棄損・減耗損	0.0	0.0	0.0	0.0	0	0
202307	012091700	42	雑給	0.0	0.0	0.0	0.0	0	0
202307	012091700	43	社内金利（固定資産）	0.0	0.0	0.0	0.0	0	0
202307	012091700	44	社内金利（売掛金）	0.0	0.0	0.0	0.0	0	0
202307	012091700	45	部門共通（経費）	0.0	0.0	0.0	0.0	0	0
202307	012091700	46	グループ共通	0.0	0.0	0.0	0.0	0	0
202307	012091700	47	差引収益	0.0	0.0	0.0		0	0
202307	012091700	48	差引比率	0.0	0.0	0.0		0	0
202307	012091700	49	総時間	0.0	0.0	0.0		0	0
202307	012091700	50	定時間	0.0	0.0	0.0	0.0	0	0
202307	012091700	51	残業時間	0.0	0.0	0.0	0.0	0	0
202307	012091700	52	移動時間	0.0	0.0	0.0	0.0	0	0
202307	012091700	53	部門共通（時間）	0.0	0.0	0.0	0.0	0	0
202307	012091700	54	当月時間当り	0.0	0.0	0.0		0	0
202307	012091700	55	人員	0.0	0.0	0.0		0	0
202308	012091700	1	総受注高	0.0	0.0	0.0		0	0
202308	012091700	2	総売上高	0.0	0.0	0.0		0	0
202308	012091700	3	売上高	0.0	0.0	0.0	0.0	0	0
202308	012091700	4	売上値引	0.0	0.0	0.0	0.0	0	0
202308	012091700	5	売上原価	0.0	0.0	0.0	0.0	0	0
202308	012091700	6	総収益	0.0	0.0	0.0	0.0	0	0
202308	012091700	7	経費合計	0.0	0.0	0.0	0.0	0	0
202308	012091700	8	減価償却費	0.0	0.0	0.0	0.0	0	0
202308	012091700	9	車両費	0.0	0.0	0.0	0.0	0	0
202308	012091700	10	旅費交通費	0.0	0.0	0.0	0.0	0	0
202308	012091700	11	荷造運搬費	0.0	0.0	0.0	0.0	0	0
202308	012091700	12	通信費	0.0	0.0	0.0	0.0	0	0
202308	012091700	13	水道光熱費	0.0	0.0	0.0	0.0	0	0
202308	012091700	14	事務用品費	0.0	0.0	0.0	0.0	0	0
202308	012091700	15	消耗品費	0.0	0.0	0.0	0.0	0	0
202308	012091700	16	廃棄物処理料	0.0	0.0	0.0	0.0	0	0
202308	012091700	17	広告宣伝費	0.0	0.0	0.0	0.0	0	0
202308	012091700	18	接待交際費	0.0	0.0	0.0	0.0	0	0
202308	012091700	20	賃借料	0.0	0.0	0.0	0.0	0	0
202308	012091700	21	賃貸料収入	0.0	0.0	0.0	0.0	0	0
202308	012091700	22	修繕費	0.0	0.0	0.0	0.0	0	0
202308	012091700	23	支払リース料	0.0	0.0	0.0	0.0	0	0
202308	012091700	24	保険料	0.0	0.0	0.0	0.0	0	0
202308	012091700	25	支払報酬	0.0	0.0	0.0	0.0	0	0
202308	012091700	26	販売手数料	0.0	0.0	0.0	0.0	0	0
202308	012091700	27	支払手数料	0.0	0.0	0.0	0.0	0	0
202308	012091700	28	診断料	0.0	0.0	0.0	0.0	0	0
202308	012091700	29	諸会費	0.0	0.0	0.0	0.0	0	0
202308	012091700	30	会議費	0.0	0.0	0.0	0.0	0	0
202308	012091700	31	寄付金	0.0	0.0	0.0	0.0	0	0
202308	012091700	32	租税公課	0.0	0.0	0.0	0.0	0	0
202308	012091700	33	業務委託費	0.0	0.0	0.0	0.0	0	0
202308	012091700	34	業務受託収入	0.0	0.0	0.0	0.0	0	0
202308	012091700	35	システム管理料	0.0	0.0	0.0	0.0	0	0
202308	012091700	36	情報機器利用料	0.0	0.0	0.0	0.0	0	0
202308	012091700	37	貸倒金	0.0	0.0	0.0	0.0	0	0
202308	012091700	38	雑費	0.0	0.0	0.0	0.0	0	0
202308	012091700	39	福利消耗品費	0.0	0.0	0.0	0.0	0	0
202308	012091700	40	教育研修費	0.0	0.0	0.0	0.0	0	0
202308	012091700	41	廃棄損・減耗損	0.0	0.0	0.0	0.0	0	0
202308	012091700	42	雑給	0.0	0.0	0.0	0.0	0	0
202308	012091700	43	社内金利（固定資産）	0.0	0.0	0.0	0.0	0	0
202308	012091700	44	社内金利（売掛金）	0.0	0.0	0.0	0.0	0	0
202308	012091700	45	部門共通（経費）	0.0	0.0	0.0	0.0	0	0
202308	012091700	46	グループ共通	0.0	0.0	0.0	0.0	0	0
202308	012091700	47	差引収益	0.0	0.0	0.0		0	0
202308	012091700	48	差引比率	0.0	0.0	0.0		0	0
202308	012091700	49	総時間	0.0	0.0	0.0		0	0
202308	012091700	50	定時間	0.0	0.0	0.0	0.0	0	0
202308	012091700	51	残業時間	0.0	0.0	0.0	0.0	0	0
202308	012091700	52	移動時間	0.0	0.0	0.0	0.0	0	0
202308	012091700	53	部門共通（時間）	0.0	0.0	0.0	0.0	0	0
202308	012091700	54	当月時間当り	0.0	0.0	0.0		0	0
202308	012091700	55	人員	0.0	0.0	0.0		0	0
202309	012091700	1	総受注高	0.0	0.0	0.0		0	0
202309	012091700	2	総売上高	0.0	0.0	0.0		0	0
202309	012091700	3	売上高	0.0	0.0	0.0	0.0	0	0
202309	012091700	4	売上値引	0.0	0.0	0.0	0.0	0	0
202309	012091700	5	売上原価	0.0	0.0	0.0	0.0	0	0
202309	012091700	6	総収益	0.0	0.0	0.0	0.0	0	0
202309	012091700	7	経費合計	0.0	0.0	0.0	0.0	0	0
202309	012091700	8	減価償却費	0.0	0.0	0.0	0.0	0	0
202309	012091700	9	車両費	0.0	0.0	0.0	0.0	0	0
202309	012091700	10	旅費交通費	0.0	0.0	0.0	0.0	0	0
202309	012091700	11	荷造運搬費	0.0	0.0	0.0	0.0	0	0
202309	012091700	12	通信費	0.0	0.0	0.0	0.0	0	0
202309	012091700	13	水道光熱費	0.0	0.0	0.0	0.0	0	0
202309	012091700	14	事務用品費	0.0	0.0	0.0	0.0	0	0
202309	012091700	15	消耗品費	0.0	0.0	0.0	0.0	0	0
202309	012091700	16	廃棄物処理料	0.0	0.0	0.0	0.0	0	0
202309	012091700	17	広告宣伝費	0.0	0.0	0.0	0.0	0	0
202309	012091700	18	接待交際費	0.0	0.0	0.0	0.0	0	0
202309	012091700	20	賃借料	0.0	0.0	0.0	0.0	0	0
202309	012091700	21	賃貸料収入	0.0	0.0	0.0	0.0	0	0
202309	012091700	22	修繕費	0.0	0.0	0.0	0.0	0	0
202309	012091700	23	支払リース料	0.0	0.0	0.0	0.0	0	0
202309	012091700	24	保険料	0.0	0.0	0.0	0.0	0	0
202309	012091700	25	支払報酬	0.0	0.0	0.0	0.0	0	0
202309	012091700	26	販売手数料	0.0	0.0	0.0	0.0	0	0
202309	012091700	27	支払手数料	0.0	0.0	0.0	0.0	0	0
202309	012091700	28	診断料	0.0	0.0	0.0	0.0	0	0
202309	012091700	29	諸会費	0.0	0.0	0.0	0.0	0	0
202309	012091700	30	会議費	0.0	0.0	0.0	0.0	0	0
202309	012091700	31	寄付金	0.0	0.0	0.0	0.0	0	0
202309	012091700	32	租税公課	0.0	0.0	0.0	0.0	0	0
202309	012091700	33	業務委託費	0.0	0.0	0.0	0.0	0	0
202309	012091700	34	業務受託収入	0.0	0.0	0.0	0.0	0	0
202309	012091700	35	システム管理料	0.0	0.0	0.0	0.0	0	0
202309	012091700	36	情報機器利用料	0.0	0.0	0.0	0.0	0	0
202309	012091700	37	貸倒金	0.0	0.0	0.0	0.0	0	0
202309	012091700	38	雑費	0.0	0.0	0.0	0.0	0	0
202309	012091700	39	福利消耗品費	0.0	0.0	0.0	0.0	0	0
202309	012091700	40	教育研修費	0.0	0.0	0.0	0.0	0	0
202309	012091700	41	廃棄損・減耗損	0.0	0.0	0.0	0.0	0	0
202309	012091700	42	雑給	0.0	0.0	0.0	0.0	0	0
202309	012091700	43	社内金利（固定資産）	0.0	0.0	0.0	0.0	0	0
202309	012091700	44	社内金利（売掛金）	0.0	0.0	0.0	0.0	0	0
202309	012091700	45	部門共通（経費）	0.0	0.0	0.0	0.0	0	0
202309	012091700	46	グループ共通	0.0	0.0	0.0	0.0	0	0
202309	012091700	47	差引収益	0.0	0.0	0.0		0	0
202309	012091700	48	差引比率	0.0	0.0	0.0		0	0
202309	012091700	49	総時間	0.0	0.0	0.0		0	0
202309	012091700	50	定時間	0.0	0.0	0.0	0.0	0	0
202309	012091700	51	残業時間	0.0	0.0	0.0	0.0	0	0
202309	012091700	52	移動時間	0.0	0.0	0.0	0.0	0	0
202309	012091700	53	部門共通（時間）	0.0	0.0	0.0	0.0	0	0
202309	012091700	54	当月時間当り	0.0	0.0	0.0		0	0
202309	012091700	55	人員	0.0	0.0	0.0		0	0
202310	012091700	1	総受注高	0.0	0.0	0.0		0	0
202310	012091700	2	総売上高	0.0	0.0	0.0		0	0
202310	012091700	3	売上高	0.0	0.0	0.0	0.0	0	0
202310	012091700	4	売上値引	0.0	0.0	0.0	0.0	0	0
202310	012091700	5	売上原価	0.0	0.0	0.0	0.0	0	0
202310	012091700	6	総収益	0.0	0.0	0.0	0.0	0	0
202310	012091700	7	経費合計	0.0	0.0	0.0	0.0	0	0
202310	012091700	8	減価償却費	0.0	0.0	0.0	0.0	0	0
202310	012091700	9	車両費	0.0	0.0	0.0	0.0	0	0
202310	012091700	10	旅費交通費	0.0	0.0	0.0	0.0	0	0
202310	012091700	11	荷造運搬費	0.0	0.0	0.0	0.0	0	0
202310	012091700	12	通信費	0.0	0.0	0.0	0.0	0	0
202310	012091700	13	水道光熱費	0.0	0.0	0.0	0.0	0	0
202310	012091700	14	事務用品費	0.0	0.0	0.0	0.0	0	0
202310	012091700	15	消耗品費	0.0	0.0	0.0	0.0	0	0
202310	012091700	16	廃棄物処理料	0.0	0.0	0.0	0.0	0	0
202310	012091700	17	広告宣伝費	0.0	0.0	0.0	0.0	0	0
202310	012091700	18	接待交際費	0.0	0.0	0.0	0.0	0	0
202310	012091700	20	賃借料	0.0	0.0	0.0	0.0	0	0
202310	012091700	21	賃貸料収入	0.0	0.0	0.0	0.0	0	0
202310	012091700	22	修繕費	0.0	0.0	0.0	0.0	0	0
202310	012091700	23	支払リース料	0.0	0.0	0.0	0.0	0	0
202310	012091700	24	保険料	0.0	0.0	0.0	0.0	0	0
202310	012091700	25	支払報酬	0.0	0.0	0.0	0.0	0	0
202310	012091700	26	販売手数料	0.0	0.0	0.0	0.0	0	0
202310	012091700	27	支払手数料	0.0	0.0	0.0	0.0	0	0
202310	012091700	28	診断料	0.0	0.0	0.0	0.0	0	0
202310	012091700	29	諸会費	0.0	0.0	0.0	0.0	0	0
202310	012091700	30	会議費	0.0	0.0	0.0	0.0	0	0
202310	012091700	31	寄付金	0.0	0.0	0.0	0.0	0	0
202310	012091700	32	租税公課	0.0	0.0	0.0	0.0	0	0
202310	012091700	33	業務委託費	0.0	0.0	0.0	0.0	0	0
202310	012091700	34	業務受託収入	0.0	0.0	0.0	0.0	0	0
202310	012091700	35	システム管理料	0.0	0.0	0.0	0.0	0	0
202310	012091700	36	情報機器利用料	0.0	0.0	0.0	0.0	0	0
202310	012091700	37	貸倒金	0.0	0.0	0.0	0.0	0	0
202310	012091700	38	雑費	0.0	0.0	0.0	0.0	0	0
202310	012091700	39	福利消耗品費	0.0	0.0	0.0	0.0	0	0
202310	012091700	40	教育研修費	0.0	0.0	0.0	0.0	0	0
202310	012091700	41	廃棄損・減耗損	0.0	0.0	0.0	0.0	0	0
202310	012091700	42	雑給	0.0	0.0	0.0	0.0	0	0
202310	012091700	43	社内金利（固定資産）	0.0	0.0	0.0	0.0	0	0
202310	012091700	44	社内金利（売掛金）	0.0	0.0	0.0	0.0	0	0
202310	012091700	45	部門共通（経費）	0.0	0.0	0.0	0.0	0	0
202310	012091700	46	グループ共通	0.0	0.0	0.0	0.0	0	0
202310	012091700	47	差引収益	0.0	0.0	0.0		0	0
202310	012091700	48	差引比率	0.0	0.0	0.0		0	0
202310	012091700	49	総時間	0.0	0.0	0.0		0	0
202310	012091700	50	定時間	0.0	0.0	0.0	0.0	0	0
202310	012091700	51	残業時間	0.0	0.0	0.0	0.0	0	0
202310	012091700	52	移動時間	0.0	0.0	0.0	0.0	0	0
202310	012091700	53	部門共通（時間）	0.0	0.0	0.0	0.0	0	0
202310	012091700	54	当月時間当り	0.0	0.0	0.0		0	0
202310	012091700	55	人員	0.0	0.0	0.0		0	0
202311	012091700	1	総受注高	0.0	0.0	0.0		0	0
202311	012091700	2	総売上高	0.0	0.0	0.0		0	0
202311	012091700	3	売上高	0.0	0.0	0.0	0.0	0	0
202311	012091700	4	売上値引	0.0	0.0	0.0	0.0	0	0
202311	012091700	5	売上原価	0.0	0.0	0.0	0.0	0	0
202311	012091700	6	総収益	0.0	0.0	0.0	0.0	0	0
202311	012091700	7	経費合計	0.0	0.0	0.0	0.0	0	0
202311	012091700	8	減価償却費	0.0	0.0	0.0	0.0	0	0
202311	012091700	9	車両費	0.0	0.0	0.0	0.0	0	0
202311	012091700	10	旅費交通費	0.0	0.0	0.0	0.0	0	0
202311	012091700	11	荷造運搬費	0.0	0.0	0.0	0.0	0	0
202311	012091700	12	通信費	0.0	0.0	0.0	0.0	0	0
202311	012091700	13	水道光熱費	0.0	0.0	0.0	0.0	0	0
202311	012091700	14	事務用品費	0.0	0.0	0.0	0.0	0	0
202311	012091700	15	消耗品費	0.0	0.0	0.0	0.0	0	0
202311	012091700	16	廃棄物処理料	0.0	0.0	0.0	0.0	0	0
202311	012091700	17	広告宣伝費	0.0	0.0	0.0	0.0	0	0
202311	012091700	18	接待交際費	0.0	0.0	0.0	0.0	0	0
202311	012091700	20	賃借料	0.0	0.0	0.0	0.0	0	0
202311	012091700	21	賃貸料収入	0.0	0.0	0.0	0.0	0	0
202311	012091700	22	修繕費	0.0	0.0	0.0	0.0	0	0
202311	012091700	23	支払リース料	0.0	0.0	0.0	0.0	0	0
202311	012091700	24	保険料	0.0	0.0	0.0	0.0	0	0
202311	012091700	25	支払報酬	0.0	0.0	0.0	0.0	0	0
202311	012091700	26	販売手数料	0.0	0.0	0.0	0.0	0	0
202311	012091700	27	支払手数料	0.0	0.0	0.0	0.0	0	0
202311	012091700	28	診断料	0.0	0.0	0.0	0.0	0	0
202311	012091700	29	諸会費	0.0	0.0	0.0	0.0	0	0
202311	012091700	30	会議費	0.0	0.0	0.0	0.0	0	0
202311	012091700	31	寄付金	0.0	0.0	0.0	0.0	0	0
202311	012091700	32	租税公課	0.0	0.0	0.0	0.0	0	0
202311	012091700	33	業務委託費	0.0	0.0	0.0	0.0	0	0
202311	012091700	34	業務受託収入	0.0	0.0	0.0	0.0	0	0
202311	012091700	35	システム管理料	0.0	0.0	0.0	0.0	0	0
202311	012091700	36	情報機器利用料	0.0	0.0	0.0	0.0	0	0
202311	012091700	37	貸倒金	0.0	0.0	0.0	0.0	0	0
202311	012091700	38	雑費	0.0	0.0	0.0	0.0	0	0
202311	012091700	39	福利消耗品費	0.0	0.0	0.0	0.0	0	0
202311	012091700	40	教育研修費	0.0	0.0	0.0	0.0	0	0
202311	012091700	41	廃棄損・減耗損	0.0	0.0	0.0	0.0	0	0
202311	012091700	42	雑給	0.0	0.0	0.0	0.0	0	0
202311	012091700	43	社内金利（固定資産）	0.0	0.0	0.0	0.0	0	0
202311	012091700	44	社内金利（売掛金）	0.0	0.0	0.0	0.0	0	0
202311	012091700	45	部門共通（経費）	0.0	0.0	0.0	0.0	0	0
202311	012091700	46	グループ共通	0.0	0.0	0.0	0.0	0	0
202311	012091700	47	差引収益	0.0	0.0	0.0		0	0
202311	012091700	48	差引比率	0.0	0.0	0.0		0	0
202311	012091700	49	総時間	0.0	0.0	0.0		0	0
202311	012091700	50	定時間	0.0	0.0	0.0	0.0	0	0
202311	012091700	51	残業時間	0.0	0.0	0.0	0.0	0	0
202311	012091700	52	移動時間	0.0	0.0	0.0	0.0	0	0
202311	012091700	53	部門共通（時間）	0.0	0.0	0.0	0.0	0	0
202311	012091700	54	当月時間当り	0.0	0.0	0.0		0	0
202311	012091700	55	人員	0.0	0.0	0.0		0	0
202312	012091700	1	総受注高	0.0	0.0	0.0		0	0
202312	012091700	2	総売上高	0.0	0.0	0.0		0	0
202312	012091700	3	売上高	0.0	0.0	0.0	0.0	0	0
202312	012091700	4	売上値引	0.0	0.0	0.0	0.0	0	0
202312	012091700	5	売上原価	0.0	0.0	0.0	0.0	0	0
202312	012091700	6	総収益	0.0	0.0	0.0	0.0	0	0
202312	012091700	7	経費合計	0.0	0.0	0.0	0.0	0	0
202312	012091700	8	減価償却費	0.0	0.0	0.0	0.0	0	0
202312	012091700	9	車両費	0.0	0.0	0.0	0.0	0	0
202312	012091700	10	旅費交通費	0.0	0.0	0.0	0.0	0	0
202312	012091700	11	荷造運搬費	0.0	0.0	0.0	0.0	0	0
202312	012091700	12	通信費	0.0	0.0	0.0	0.0	0	0
202312	012091700	13	水道光熱費	0.0	0.0	0.0	0.0	0	0
202312	012091700	14	事務用品費	0.0	0.0	0.0	0.0	0	0
202312	012091700	15	消耗品費	0.0	0.0	0.0	0.0	0	0
202312	012091700	16	廃棄物処理料	0.0	0.0	0.0	0.0	0	0
202312	012091700	17	広告宣伝費	0.0	0.0	0.0	0.0	0	0
202312	012091700	18	接待交際費	0.0	0.0	0.0	0.0	0	0
202312	012091700	20	賃借料	0.0	0.0	0.0	0.0	0	0
202312	012091700	21	賃貸料収入	0.0	0.0	0.0	0.0	0	0
202312	012091700	22	修繕費	0.0	0.0	0.0	0.0	0	0
202312	012091700	23	支払リース料	0.0	0.0	0.0	0.0	0	0
202312	012091700	24	保険料	0.0	0.0	0.0	0.0	0	0
202312	012091700	25	支払報酬	0.0	0.0	0.0	0.0	0	0
202312	012091700	26	販売手数料	0.0	0.0	0.0	0.0	0	0
202312	012091700	27	支払手数料	0.0	0.0	0.0	0.0	0	0
202312	012091700	28	診断料	0.0	0.0	0.0	0.0	0	0
202312	012091700	29	諸会費	0.0	0.0	0.0	0.0	0	0
202312	012091700	30	会議費	0.0	0.0	0.0	0.0	0	0
202312	012091700	31	寄付金	0.0	0.0	0.0	0.0	0	0
202312	012091700	32	租税公課	0.0	0.0	0.0	0.0	0	0
202312	012091700	33	業務委託費	0.0	0.0	0.0	0.0	0	0
202312	012091700	34	業務受託収入	0.0	0.0	0.0	0.0	0	0
202312	012091700	35	システム管理料	0.0	0.0	0.0	0.0	0	0
202312	012091700	36	情報機器利用料	0.0	0.0	0.0	0.0	0	0
202312	012091700	37	貸倒金	0.0	0.0	0.0	0.0	0	0
202312	012091700	38	雑費	0.0	0.0	0.0	0.0	0	0
202312	012091700	39	福利消耗品費	0.0	0.0	0.0	0.0	0	0
202312	012091700	40	教育研修費	0.0	0.0	0.0	0.0	0	0
202312	012091700	41	廃棄損・減耗損	0.0	0.0	0.0	0.0	0	0
202312	012091700	42	雑給	0.0	0.0	0.0	0.0	0	0
202312	012091700	43	社内金利（固定資産）	0.0	0.0	0.0	0.0	0	0
202312	012091700	44	社内金利（売掛金）	0.0	0.0	0.0	0.0	0	0
202312	012091700	45	部門共通（経費）	0.0	0.0	0.0	0.0	0	0
202312	012091700	46	グループ共通	0.0	0.0	0.0	0.0	0	0
202312	012091700	47	差引収益	0.0	0.0	0.0		0	0
202312	012091700	48	差引比率	0.0	0.0	0.0		0	0
202312	012091700	49	総時間	0.0	0.0	0.0		0	0
202312	012091700	50	定時間	0.0	0.0	0.0	0.0	0	0
202312	012091700	51	残業時間	0.0	0.0	0.0	0.0	0	0
202312	012091700	52	移動時間	0.0	0.0	0.0	0.0	0	0
202312	012091700	53	部門共通（時間）	0.0	0.0	0.0	0.0	0	0
202312	012091700	54	当月時間当り	0.0	0.0	0.0		0	0
202312	012091700	55	人員	0.0	0.0	0.0		0	0
202401	012091700	1	総受注高	0.0	0.0	0.0		0	0
202401	012091700	2	総売上高	0.0	0.0	0.0		0	0
202401	012091700	3	売上高	0.0	0.0	0.0	0.0	0	0
202401	012091700	4	売上値引	0.0	0.0	0.0	0.0	0	0
202401	012091700	5	売上原価	0.0	0.0	0.0	0.0	0	0
202401	012091700	6	総収益	0.0	0.0	0.0	0.0	0	0
202401	012091700	7	経費合計	0.0	0.0	0.0	0.0	0	0
202401	012091700	8	減価償却費	0.0	0.0	0.0	0.0	0	0
202401	012091700	9	車両費	0.0	0.0	0.0	0.0	0	0
202401	012091700	10	旅費交通費	0.0	0.0	0.0	0.0	0	0
202401	012091700	11	荷造運搬費	0.0	0.0	0.0	0.0	0	0
202401	012091700	12	通信費	0.0	0.0	0.0	0.0	0	0
202401	012091700	13	水道光熱費	0.0	0.0	0.0	0.0	0	0
202401	012091700	14	事務用品費	0.0	0.0	0.0	0.0	0	0
202401	012091700	15	消耗品費	0.0	0.0	0.0	0.0	0	0
202401	012091700	16	廃棄物処理料	0.0	0.0	0.0	0.0	0	0
202401	012091700	17	広告宣伝費	0.0	0.0	0.0	0.0	0	0
202401	012091700	18	接待交際費	0.0	0.0	0.0	0.0	0	0
202401	012091700	20	賃借料	0.0	0.0	0.0	0.0	0	0
202401	012091700	21	賃貸料収入	0.0	0.0	0.0	0.0	0	0
202401	012091700	22	修繕費	0.0	0.0	0.0	0.0	0	0
202401	012091700	23	支払リース料	0.0	0.0	0.0	0.0	0	0
202401	012091700	24	保険料	0.0	0.0	0.0	0.0	0	0
202401	012091700	25	支払報酬	0.0	0.0	0.0	0.0	0	0
202401	012091700	26	販売手数料	0.0	0.0	0.0	0.0	0	0
202401	012091700	27	支払手数料	0.0	0.0	0.0	0.0	0	0
202401	012091700	28	診断料	0.0	0.0	0.0	0.0	0	0
202401	012091700	29	諸会費	0.0	0.0	0.0	0.0	0	0
202401	012091700	30	会議費	0.0	0.0	0.0	0.0	0	0
202401	012091700	31	寄付金	0.0	0.0	0.0	0.0	0	0
202401	012091700	32	租税公課	0.0	0.0	0.0	0.0	0	0
202401	012091700	33	業務委託費	0.0	0.0	0.0	0.0	0	0
202401	012091700	34	業務受託収入	0.0	0.0	0.0	0.0	0	0
202401	012091700	35	システム管理料	0.0	0.0	0.0	0.0	0	0
202401	012091700	36	情報機器利用料	0.0	0.0	0.0	0.0	0	0
202401	012091700	37	貸倒金	0.0	0.0	0.0	0.0	0	0
202401	012091700	38	雑費	0.0	0.0	0.0	0.0	0	0
202401	012091700	39	福利消耗品費	0.0	0.0	0.0	0.0	0	0
202401	012091700	40	教育研修費	0.0	0.0	0.0	0.0	0	0
202401	012091700	41	廃棄損・減耗損	0.0	0.0	0.0	0.0	0	0
202401	012091700	42	雑給	0.0	0.0	0.0	0.0	0	0
202401	012091700	43	社内金利（固定資産）	0.0	0.0	0.0	0.0	0	0
202401	012091700	44	社内金利（売掛金）	0.0	0.0	0.0	0.0	0	0
202401	012091700	45	部門共通（経費）	0.0	0.0	0.0	0.0	0	0
202401	012091700	46	グループ共通	0.0	0.0	0.0	0.0	0	0
202401	012091700	47	差引収益	0.0	0.0	0.0		0	0
202401	012091700	48	差引比率	0.0	0.0	0.0		0	0
202401	012091700	49	総時間	0.0	0.0	0.0		0	0
202401	012091700	50	定時間	0.0	0.0	0.0	0.0	0	0
202401	012091700	51	残業時間	0.0	0.0	0.0	0.0	0	0
202401	012091700	52	移動時間	0.0	0.0	0.0	0.0	0	0
202401	012091700	53	部門共通（時間）	0.0	0.0	0.0	0.0	0	0
202401	012091700	54	当月時間当り	0.0	0.0	0.0		0	0
202401	012091700	55	人員	0.0	0.0	0.0		0	0
202402	012091700	1	総受注高	0.0	0.0	0.0		0	0
202402	012091700	2	総売上高	0.0	0.0	0.0		0	0
202402	012091700	3	売上高	0.0	0.0	0.0	0.0	0	0
202402	012091700	4	売上値引	0.0	0.0	0.0	0.0	0	0
202402	012091700	5	売上原価	0.0	0.0	0.0	0.0	0	0
202402	012091700	6	総収益	0.0	0.0	0.0	0.0	0	0
202402	012091700	7	経費合計	0.0	0.0	0.0	0.0	0	0
202402	012091700	8	減価償却費	0.0	0.0	0.0	0.0	0	0
202402	012091700	9	車両費	0.0	0.0	0.0	0.0	0	0
202402	012091700	10	旅費交通費	0.0	0.0	0.0	0.0	0	0
202402	012091700	11	荷造運搬費	0.0	0.0	0.0	0.0	0	0
202402	012091700	12	通信費	0.0	0.0	0.0	0.0	0	0
202402	012091700	13	水道光熱費	0.0	0.0	0.0	0.0	0	0
202402	012091700	14	事務用品費	0.0	0.0	0.0	0.0	0	0
202402	012091700	15	消耗品費	0.0	0.0	0.0	0.0	0	0
202402	012091700	16	廃棄物処理料	0.0	0.0	0.0	0.0	0	0
202402	012091700	17	広告宣伝費	0.0	0.0	0.0	0.0	0	0
202402	012091700	18	接待交際費	0.0	0.0	0.0	0.0	0	0
202402	012091700	20	賃借料	0.0	0.0	0.0	0.0	0	0
202402	012091700	21	賃貸料収入	0.0	0.0	0.0	0.0	0	0
202402	012091700	22	修繕費	0.0	0.0	0.0	0.0	0	0
202402	012091700	23	支払リース料	0.0	0.0	0.0	0.0	0	0
202402	012091700	24	保険料	0.0	0.0	0.0	0.0	0	0
